epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.54002,1.01222,3.68409,1.48736,0.44755,0.16667,0.28744,0.23853,0.64337,3.36755,1.29902,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,13.8918,0.83153,3.3979,1.30783,0.42555,0.16667,0.2758,0.23181,0.648,3.41712,1.31762,0.000147555,4.91848e-05,0.000147555,4.91848e-05,0.000147555,4.91848e-05,0.000147555,4.91848e-05
3,18.6157,1.00809,3.67811,1.50475,0.38705,0.16667,0.26998,0.22744,0.64209,3.46355,1.30753,0.000241798,8.05995e-05,0.000241798,8.05995e-05,0.000241798,8.05995e-05,0.000241798,8.05995e-05
4,26.8653,0.95924,3.80875,1.4767,0.24824,0.16667,0.26642,0.2248,0.64154,3.48551,1.29726,0.000332742,0.000110914,0.000332742,0.000110914,0.000332742,0.000110914,0.000332742,0.000110914
5,34.4566,1.17643,3.50926,1.54446,0.19702,0.25,0.27522,0.23325,0.64016,3.46905,1.29001,0.000420384,0.000140128,0.000420384,0.000140128,0.000420384,0.000140128,0.000420384,0.000140128
6,42.1689,0.81859,3.5267,1.34346,0.22201,0.25,0.20281,0.16626,0.6611,3.41879,1.30484,0.000504726,0.000168242,0.000504726,0.000168242,0.000504726,0.000168242,0.000504726,0.000168242
7,49.6339,0.99698,3.49983,1.47602,0.20714,0.66667,0.24868,0.20005,0.67471,3.33182,1.29845,0.000585767,0.000195256,0.000585767,0.000195256,0.000585767,0.000195256,0.000585767,0.000195256
8,56.2645,0.80029,3.10182,1.23932,0.26207,0.83333,0.33278,0.26115,0.68058,3.20956,1.29611,0.000663508,0.000221169,0.000663508,0.000221169,0.000663508,0.000221169,0.000663508,0.000221169
9,62.7077,0.94041,3.33485,1.3325,0.24286,0.58333,0.33455,0.26667,0.68564,3.10545,1.29684,0.000737948,0.000245983,0.000737948,0.000245983,0.000737948,0.000245983,0.000737948,0.000245983
10,72.1633,0.81527,3.00736,1.36622,0.29328,0.58333,0.38103,0.32468,0.68849,3.01882,1.29506,0.000809087,0.000269696,0.000809087,0.000269696,0.000809087,0.000269696,0.000809087,0.000269696
11,79.4852,0.66273,3.10213,1.26736,0.43683,0.63886,0.45119,0.36606,0.70344,2.91716,1.30592,0.000876925,0.000292308,0.000876925,0.000292308,0.000876925,0.000292308,0.000876925,0.000292308
12,86.0973,0.60015,2.65228,1.17678,0.46155,0.65679,0.45428,0.36936,0.70858,2.74226,1.30679,0.000941463,0.000313821,0.000941463,0.000313821,0.000941463,0.000313821,0.000941463,0.000313821
13,92.45,0.6992,2.68722,1.24734,0.48774,0.66667,0.48413,0.39073,0.68749,2.55767,1.28121,0.0010027,0.000334234,0.0010027,0.000334234,0.0010027,0.000334234,0.0010027,0.000334234
14,100.582,0.71575,2.41908,1.18021,0.53199,0.66667,0.57449,0.48263,0.67446,2.33776,1.26564,0.00106064,0.000353546,0.00106064,0.000353546,0.00106064,0.000353546,0.00106064,0.000353546
15,106.785,0.6704,2.37286,1.25312,0.55726,0.66667,0.60938,0.50694,0.65014,2.13005,1.24177,0.00111527,0.000371758,0.00111527,0.000371758,0.00111527,0.000371758,0.00111527,0.000371758
16,113.626,0.70372,2.52178,1.29366,0.77348,0.64365,0.67446,0.55095,0.65319,1.99295,1.24017,0.00116661,0.000388869,0.00116661,0.000388869,0.00116661,0.000388869,0.00116661,0.000388869
17,120.09,0.54495,1.86145,1.07188,0.7681,0.65357,0.72081,0.59716,0.64436,1.86329,1.22956,0.00121464,0.000404881,0.00121464,0.000404881,0.00121464,0.000404881,0.00121464,0.000404881
18,126.623,0.60998,2.06611,1.1988,0.77318,0.7126,0.79064,0.65966,0.62463,1.75159,1.21469,0.00125938,0.000419792,0.00125938,0.000419792,0.00125938,0.000419792,0.00125938,0.000419792
19,133.157,0.51391,1.9172,1.1176,0.74072,0.77095,0.81771,0.67898,0.626,1.66266,1.21478,0.00130081,0.000433603,0.00130081,0.000433603,0.00130081,0.000433603,0.00130081,0.000433603
20,138.163,0.56285,1.65425,1.14553,0.83971,0.75,0.82743,0.69908,0.61026,1.61288,1.20439,0.00133894,0.000446314,0.00133894,0.000446314,0.00133894,0.000446314,0.00133894,0.000446314
21,142.621,0.58161,1.88104,1.15967,0.76775,0.83333,0.84571,0.71032,0.58898,1.57874,1.18553,0.00137377,0.000457925,0.00137377,0.000457925,0.00137377,0.000457925,0.00137377,0.000457925
22,146.69,0.52377,1.58939,1.06511,0.78554,0.83333,0.84976,0.72701,0.5816,1.49274,1.17348,0.00140531,0.000468435,0.00140531,0.000468435,0.00140531,0.000468435,0.00140531,0.000468435
23,151.111,0.5382,1.47752,1.095,0.86894,0.82103,0.8925,0.76294,0.56017,1.42546,1.1552,0.00143354,0.000477846,0.00143354,0.000477846,0.00143354,0.000477846,0.00143354,0.000477846
24,155.937,0.48291,1.73351,1.09447,0.77644,0.9335,0.96833,0.82925,0.57212,1.30448,1.15351,0.00145847,0.000486156,0.00145847,0.000486156,0.00145847,0.000486156,0.00145847,0.000486156
