epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.4341,0.57925,2.4153,1.08271,0.96458,0.5,0.4967,0.45941,0.28025,0.85014,0.75252,0,0,0,0,0,0,0,0
2,25.1141,0.53981,2.41039,1.08307,0.97165,1,0.995,0.95754,0.27796,0.8522,0.75037,5.802e-05,1.934e-05,5.802e-05,1.934e-05,5.802e-05,1.934e-05,5.802e-05,1.934e-05
3,26.3241,0.64182,2.21383,1.11773,0.97059,1,0.995,0.95754,0.27574,0.86205,0.74826,0.00011208,3.736e-05,0.00011208,3.736e-05,0.00011208,3.736e-05,0.00011208,3.736e-05
4,27.2763,0.54842,2.139,1.08743,0.97029,1,0.995,0.95754,0.27306,0.87336,0.74567,0.00016218,5.406e-05,0.00016218,5.406e-05,0.00016218,5.406e-05,0.00016218,5.406e-05
5,28.2169,0.59703,2.29762,1.14073,0.97114,1,0.995,0.95754,0.27258,0.87569,0.74603,0.00020832,6.944e-05,0.00020832,6.944e-05,0.00020832,6.944e-05,0.00020832,6.944e-05
6,36.6186,0.58384,2.47431,1.08488,0.97069,1,0.995,0.95754,0.27424,0.87916,0.74552,0.0002505,8.35e-05,0.0002505,8.35e-05,0.0002505,8.35e-05,0.0002505,8.35e-05
7,38.0353,0.66801,2.45636,1.22379,0.97235,1,0.995,0.95754,0.27665,0.86954,0.74506,0.00028872,9.624e-05,0.00028872,9.624e-05,0.00028872,9.624e-05,0.00028872,9.624e-05
8,41.7351,0.69791,2.26137,1.09186,0.97464,1,0.995,0.95754,0.27525,0.85473,0.74461,0.00032298,0.00010766,0.00032298,0.00010766,0.00032298,0.00010766,0.00032298,0.00010766
9,47.668,0.58256,2.30311,1.08288,0.97613,1,0.995,0.95754,0.27031,0.82983,0.74421,0.00035328,0.00011776,0.00035328,0.00011776,0.00035328,0.00011776,0.00035328,0.00011776
10,57.2685,0.54187,2.27892,1.10585,0.97908,1,0.995,0.95754,0.26808,0.79964,0.74439,0.00037962,0.00012654,0.00037962,0.00012654,0.00037962,0.00012654,0.00037962,0.00012654
11,59.3782,0.51512,2.25926,1.06127,0.97976,1,0.995,0.95754,0.2636,0.77095,0.74492,0.000402,0.000134,0.000402,0.000134,0.000402,0.000134,0.000402,0.000134
12,63.3234,0.58528,2.15093,1.0821,0.98159,1,0.995,0.95754,0.26061,0.74055,0.74555,0.00042042,0.00014014,0.00042042,0.00014014,0.00042042,0.00014014,0.00042042,0.00014014
13,70.6851,0.54204,2.12595,1.06009,0.98198,1,0.995,0.95754,0.2606,0.71158,0.74841,0.00043488,0.00014496,0.00043488,0.00014496,0.00043488,0.00014496,0.00043488,0.00014496
14,76.3701,0.54201,2.14207,1.08555,0.98326,1,0.995,0.95754,0.25944,0.67647,0.75017,0.00044538,0.00014846,0.00044538,0.00014846,0.00044538,0.00014846,0.00044538,0.00014846
15,78.475,0.63084,2.22472,1.15634,0.98464,1,0.995,0.95754,0.25337,0.64278,0.75051,0.00045192,0.00015064,0.00045192,0.00015064,0.00045192,0.00015064,0.00045192,0.00015064
16,80.4201,0.59943,1.8986,1.13488,0.98483,1,0.995,0.95754,0.24938,0.6195,0.75107,0.0004545,0.0001515,0.0004545,0.0001515,0.0004545,0.0001515,0.0004545,0.0001515
17,83.6135,0.49937,1.87984,1.0681,0.98561,1,0.995,0.96379,0.24601,0.58196,0.75406,0.00045312,0.00015104,0.00045312,0.00015104,0.00045312,0.00015104,0.00045312,0.00015104
18,94.027,0.64798,1.97473,1.08989,0.98561,1,0.995,0.96379,0.24601,0.58196,0.75406,0.00044778,0.00014926,0.00044778,0.00014926,0.00044778,0.00014926,0.00044778,0.00014926
19,96.283,0.48571,1.77134,1.05713,0.98527,1,0.995,0.96379,0.2484,0.56255,0.75734,0.00043848,0.00014616,0.00043848,0.00014616,0.00043848,0.00014616,0.00043848,0.00014616
20,98.1424,0.56646,1.82093,1.07013,0.98527,1,0.995,0.96379,0.2484,0.56255,0.75734,0.00042522,0.00014174,0.00042522,0.00014174,0.00042522,0.00014174,0.00042522,0.00014174
21,135.989,0.28042,1.5302,1.04035,0.98533,1,0.995,0.96379,0.25135,0.55305,0.7623,0.000408,0.000136,0.000408,0.000136,0.000408,0.000136,0.000408,0.000136
22,137.735,0.36928,1.37872,1.00524,0.98533,1,0.995,0.96379,0.25135,0.55305,0.7623,0.00038682,0.00012894,0.00038682,0.00012894,0.00038682,0.00012894,0.00038682,0.00012894
23,143.042,0.42252,1.59078,1.0762,0.98553,1,0.995,0.96379,0.25355,0.54885,0.76688,0.00036168,0.00012056,0.00036168,0.00012056,0.00036168,0.00012056,0.00036168,0.00012056
24,154.557,0.26526,1.55603,0.93418,0.98553,1,0.995,0.96379,0.25355,0.54885,0.76688,0.00033258,0.00011086,0.00033258,0.00011086,0.00033258,0.00011086,0.00033258,0.00011086
25,156.748,0.3403,1.44435,1.01511,0.98584,1,0.995,0.96379,0.25655,0.54905,0.77494,0.00029952,9.984e-05,0.00029952,9.984e-05,0.00029952,9.984e-05,0.00029952,9.984e-05
26,158.972,0.29592,1.52751,1.01869,0.98584,1,0.995,0.96379,0.25655,0.54905,0.77494,0.0002625,8.75e-05,0.0002625,8.75e-05,0.0002625,8.75e-05,0.0002625,8.75e-05
27,160.924,0.40921,1.60755,1.10059,0.98597,1,0.995,0.96379,0.26549,0.55291,0.787,0.00022152,7.384e-05,0.00022152,7.384e-05,0.00022152,7.384e-05,0.00022152,7.384e-05
28,170.032,0.31957,1.32263,0.93478,0.98597,1,0.995,0.96379,0.26549,0.55291,0.787,0.00017658,5.886e-05,0.00017658,5.886e-05,0.00017658,5.886e-05,0.00017658,5.886e-05
29,172.87,0.24989,1.4405,0.94656,0.98597,1,0.995,0.96379,0.27479,0.55337,0.80161,0.00012768,4.256e-05,0.00012768,4.256e-05,0.00012768,4.256e-05,0.00012768,4.256e-05
