epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.02745,1.01222,3.68409,1.48736,0.44755,0.16667,0.28744,0.23853,0.64337,3.36755,1.29902,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,10.6728,0.83153,3.3979,1.30783,0.42555,0.16667,0.2758,0.23181,0.648,3.41712,1.31762,0.000147908,4.93027e-05,0.000147908,4.93027e-05,0.000147908,4.93027e-05,0.000147908,4.93027e-05
3,13.7497,1.00809,3.67811,1.50475,0.386,0.16667,0.27003,0.22748,0.6426,3.46593,1.30782,0.000242977,8.09924e-05,0.000242977,8.09924e-05,0.000242977,8.09924e-05,0.000242977,8.09924e-05
4,20.0153,0.95994,3.80922,1.47712,0.24811,0.16667,0.26697,0.22529,0.64328,3.47831,1.29972,0.000335217,0.000111739,0.000335217,0.000111739,0.000335217,0.000111739,0.000335217,0.000111739
5,26.1429,1.17714,3.5094,1.54507,0.19023,0.25,0.27517,0.23226,0.64234,3.46094,1.29111,0.000424628,0.000141543,0.000424628,0.000141543,0.000424628,0.000141543,0.000424628,0.000141543
6,32.3203,0.81899,3.52649,1.34609,0.22329,0.25,0.20295,0.167,0.66109,3.41208,1.30469,0.000511209,0.000170403,0.000511209,0.000170403,0.000511209,0.000170403,0.000511209,0.000170403
7,38.126,0.99663,3.50154,1.47604,0.20767,0.66667,0.24878,0.20012,0.66577,3.34507,1.28875,0.000594962,0.000198321,0.000594962,0.000198321,0.000594962,0.000198321,0.000594962,0.000198321
8,43.9601,0.80183,3.09848,1.2404,0.26332,0.83333,0.33297,0.2617,0.68211,3.20555,1.29607,0.000675885,0.000225295,0.000675885,0.000225295,0.000675885,0.000225295,0.000675885,0.000225295
9,49.1521,0.93996,3.32596,1.33173,0.2881,0.6519,0.34467,0.27203,0.68618,3.09552,1.29721,0.000753979,0.000251326,0.000753979,0.000251326,0.000753979,0.000251326,0.000753979,0.000251326
10,56.9192,0.81163,2.99425,1.36551,0.35802,0.58333,0.44455,0.36488,0.68541,3.01466,1.29376,0.000829244,0.000276415,0.000829244,0.000276415,0.000829244,0.000276415,0.000829244,0.000276415
11,62.9423,0.67043,3.08348,1.27318,0.44785,0.64015,0.45764,0.37141,0.70563,2.89281,1.3068,0.00090168,0.00030056,0.00090168,0.00030056,0.00090168,0.00030056,0.00090168,0.00030056
12,68.9824,0.59664,2.63559,1.17451,0.45692,0.66667,0.45848,0.37298,0.71085,2.71873,1.30955,0.000971287,0.000323762,0.000971287,0.000323762,0.000971287,0.000323762,0.000971287,0.000323762
13,75.5829,0.70988,2.6828,1.25025,0.47966,0.66667,0.48809,0.3939,0.68513,2.53354,1.27851,0.00103806,0.000346022,0.00103806,0.000346022,0.00103806,0.000346022,0.00103806,0.000346022
