epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.0799,1.01222,3.68409,1.48736,0.44755,0.16667,0.28744,0.23853,0.64337,3.36755,1.29902,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,19.6695,0.83153,3.3979,1.30783,0.42555,0.16667,0.2758,0.23181,0.648,3.41712,1.31762,0.000147059,4.90198e-05,0.000147059,4.90198e-05,0.000147059,4.90198e-05,0.000147059,4.90198e-05
3,26.2256,1.00809,3.67811,1.50475,0.38705,0.16667,0.27003,0.22748,0.64253,3.46606,1.30781,0.000240148,8.00493e-05,0.000240148,8.00493e-05,0.000240148,8.00493e-05,0.000240148,8.00493e-05
4,34.8429,0.95968,3.80929,1.47664,0.24533,0.16667,0.26642,0.2248,0.64441,3.47885,1.29991,0.000329276,0.000109759,0.000329276,0.000109759,0.000329276,0.000109759,0.000329276,0.000109759
5,42.8494,1.17786,3.51041,1.54579,0.18907,0.25,0.27512,0.2322,0.64292,3.4662,1.29177,0.000414443,0.000138148,0.000414443,0.000138148,0.000414443,0.000138148,0.000414443,0.000138148
6,51.763,0.81841,3.52972,1.34346,0.23039,0.25,0.20693,0.17024,0.66154,3.42178,1.30538,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216
7,60.438,0.99643,3.50971,1.47584,0.20453,0.66667,0.24465,0.19719,0.66588,3.36138,1.2883,0.000572895,0.000190965,0.000572895,0.000190965,0.000572895,0.000190965,0.000572895,0.000190965
8,68.2276,0.80324,3.10524,1.24181,0.26228,0.83333,0.30613,0.23992,0.6748,3.2163,1.28836,0.000646179,0.000215393,0.000646179,0.000215393,0.000646179,0.000215393,0.000646179,0.000215393
9,76.3707,0.94392,3.34215,1.33551,0.29164,0.83333,0.35091,0.2787,0.68371,3.10452,1.29658,0.000715503,0.000238501,0.000715503,0.000238501,0.000715503,0.000238501,0.000715503,0.000238501
10,85.3622,0.81545,3.02391,1.36835,0.29296,0.58333,0.34007,0.28365,0.68626,3.03223,1.29673,0.000780866,0.000260289,0.000780866,0.000260289,0.000780866,0.000260289,0.000780866,0.000260289
