epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.8481,1.04219,2.5588,1.52604,0.34086,0.47619,0.383,0.27534,0.75186,1.99909,1.33083,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028
2,43.7135,0.93711,1.90201,1.47692,0.49549,0.7619,0.62019,0.45647,0.75087,1.56882,1.34945,0.00168258,0.00056086,0.00168258,0.00056086,0.00168258,0.00056086,0.00168258,0.00056086
3,64.316,0.84379,1.37356,1.41047,0.88751,0.68254,0.79275,0.59309,0.77278,1.13505,1.36744,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192
4,82.6424,0.80699,1.0984,1.38773,0.79995,0.73016,0.78162,0.57927,0.85103,1.15199,1.47938,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318
5,98.4742,0.81729,0.99001,1.35573,0.77948,0.74603,0.79774,0.58638,0.78757,1.04572,1.42092,0.00385392,0.00128464,0.00385392,0.00128464,0.00385392,0.00128464,0.00385392,0.00128464
6,117.444,0.80872,0.90967,1.34001,0.77667,0.74603,0.80446,0.60767,0.76731,0.96016,1.39945,0.0044589,0.0014863,0.0044589,0.0014863,0.0044589,0.0014863,0.0044589,0.0014863
7,136.927,0.72639,0.80615,1.26659,0.70853,0.77177,0.82834,0.62188,0.7534,0.91732,1.37502,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,157.114,0.71275,0.72443,1.2718,0.82353,0.74079,0.82377,0.62019,0.76131,0.9152,1.38407,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,176.028,0.71102,0.6992,1.25267,0.78758,0.7651,0.8248,0.62331,0.76784,0.93638,1.37802,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,192.428,0.71335,0.72663,1.27462,0.84124,0.8254,0.83765,0.6303,0.81849,0.84022,1.4397,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,209.108,0.66817,0.62797,1.21794,0.85269,0.79365,0.84208,0.62842,0.81446,0.85255,1.41684,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,225.313,0.64554,0.6177,1.20662,0.80693,0.79365,0.84381,0.61849,0.83876,0.84186,1.42883,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,240.931,0.65743,0.59335,1.2251,0.8252,0.77778,0.84163,0.63474,0.84021,0.84298,1.42512,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
