epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,107.09,0.88656,3.59041,1.33652,0.45036,0.16667,0.32054,0.27243,0.56751,3.52747,1.12895,0,0,0,0,0,0,0,0
2,219.055,0.64453,3.53609,1.15935,0.4378,0.16667,0.30618,0.26128,0.56694,3.56169,1.13395,4.75345e-05,1.58448e-05,4.75345e-05,1.58448e-05,4.75345e-05,1.58448e-05,4.75345e-05,1.58448e-05
3,341.491,0.85739,3.53073,1.24197,0.41745,0.16667,0.30746,0.26371,0.56694,3.57928,1.13864,9.0118e-05,3.00393e-05,9.0118e-05,3.00393e-05,9.0118e-05,3.00393e-05,9.0118e-05,3.00393e-05
4,459.271,0.72297,3.71947,1.22291,0.38638,0.16667,0.30494,0.26191,0.57193,3.60729,1.14387,0.000127751,4.25835e-05,0.000127751,4.25835e-05,0.000127751,4.25835e-05,0.000127751,4.25835e-05
5,640.739,0.90704,3.79853,1.28434,0.29903,0.16667,0.29383,0.25339,0.57366,3.61854,1.1476,0.000160432,5.34774e-05,0.000160432,5.34774e-05,0.000160432,5.34774e-05,0.000160432,5.34774e-05
