epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.7403,1.04912,3.33388,1.49709,0.19047,0.45887,0.26235,0.1779,0.84305,3.28392,1.44474,8.574e-05,2.858e-05,8.574e-05,2.858e-05,8.574e-05,2.858e-05,8.574e-05,2.858e-05
2,36.8363,0.89863,3.01815,1.40455,0.21746,0.42554,0.2635,0.18258,0.8291,3.24666,1.44117,0.000207276,6.90921e-05,0.000207276,6.90921e-05,0.000207276,6.90921e-05,0.000207276,6.90921e-05
3,53.0088,0.90321,3.31954,1.39234,0.21146,0.42554,0.28824,0.20487,0.83208,3.20601,1.43479,0.000320325,0.000106775,0.000320325,0.000106775,0.000320325,0.000106775,0.000320325,0.000106775
4,76.9793,0.90487,2.83985,1.36772,0.24758,0.44935,0.29241,0.21608,0.8393,3.1545,1.42746,0.000424885,0.000141628,0.000424885,0.000141628,0.000424885,0.000141628,0.000424885,0.000141628
5,100.459,0.85333,2.72949,1.34335,0.30256,0.50128,0.34837,0.2605,0.8231,3.02588,1.40228,0.000520956,0.000173652,0.000520956,0.000173652,0.000520956,0.000173652,0.000520956,0.000173652
6,122.27,0.86437,2.64539,1.43608,0.31718,0.51916,0.38072,0.29023,0.8208,2.94204,1.37815,0.00060854,0.000202847,0.00060854,0.000202847,0.00060854,0.000202847,0.00060854,0.000202847
7,135.254,0.85963,2.56392,1.33849,0.35466,0.52477,0.41063,0.31983,0.80981,2.81965,1.35694,0.000687635,0.000229212,0.000687635,0.000229212,0.000687635,0.000229212,0.000687635,0.000229212
8,148.749,0.84987,2.30229,1.39138,0.37609,0.51126,0.44015,0.34259,0.77619,2.7725,1.32744,0.000758242,0.000252747,0.000758242,0.000252747,0.000758242,0.000252747,0.000758242,0.000252747
9,165.274,1.0271,2.59883,1.56013,0.3871,0.51722,0.45331,0.36606,0.77743,2.66826,1.30335,0.00082036,0.000273453,0.00082036,0.000273453,0.00082036,0.000273453,0.00082036,0.000273453
10,179.999,0.8859,2.17751,1.4511,0.39712,0.50406,0.46666,0.38434,0.77693,2.61527,1.29326,0.000873991,0.00029133,0.000873991,0.00029133,0.000873991,0.00029133,0.000873991,0.00029133
11,196.984,0.78715,2.21953,1.30256,0.40882,0.49048,0.48006,0.40202,0.7826,2.52262,1.27366,0.000919133,0.000306378,0.000919133,0.000306378,0.000919133,0.000306378,0.000919133,0.000306378
12,213.102,0.81246,2.03817,1.32664,0.41483,0.49048,0.48414,0.41081,0.76341,2.46646,1.26368,0.000955787,0.000318596,0.000955787,0.000318596,0.000955787,0.000318596,0.000955787,0.000318596
13,229.67,0.76723,1.81319,1.31249,0.38219,0.55373,0.50682,0.4267,0.73458,2.32137,1.24308,0.000983952,0.000327984,0.000983952,0.000327984,0.000983952,0.000327984,0.000983952,0.000327984
14,245.963,0.7498,1.79732,1.32502,0.86109,0.43333,0.52656,0.442,0.74615,2.23948,1.24717,0.00100363,0.000334543,0.00100363,0.000334543,0.00100363,0.000334543,0.00100363,0.000334543
15,263.976,0.76538,1.96348,1.36458,0.88884,0.43333,0.56963,0.47846,0.70594,2.09895,1.22105,0.00101482,0.000338273,0.00101482,0.000338273,0.00101482,0.000338273,0.00101482,0.000338273
16,278.029,0.75735,1.71614,1.33326,0.88703,0.43333,0.57186,0.48404,0.6957,2.0424,1.21007,0.00101752,0.000339173,0.00101752,0.000339173,0.00101752,0.000339173,0.00101752,0.000339173
17,295.394,0.62933,1.59895,1.22721,0.91079,0.46667,0.59083,0.50915,0.68789,1.96399,1.19033,0.00101173,0.000337244,0.00101173,0.000337244,0.00101173,0.000337244,0.00101173,0.000337244
18,312.312,0.75475,1.62831,1.27138,0.9123,0.46083,0.59672,0.5066,0.68929,1.93089,1.19177,0.000997456,0.000332485,0.000997456,0.000332485,0.000997456,0.000332485,0.000997456,0.000332485
