epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.3366,1.01222,3.68409,1.48736,0.44755,0.16667,0.28744,0.23853,0.64337,3.36755,1.29902,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,17.0842,0.83153,3.3979,1.30783,0.42555,0.16667,0.2758,0.23181,0.648,3.41712,1.31762,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05
3,23.796,1.00809,3.67811,1.50475,0.386,0.16667,0.26889,0.22633,0.64243,3.4632,1.30786,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05
4,35.1304,0.95954,3.81098,1.47691,0.24059,0.16667,0.26551,0.22415,0.64086,3.48436,1.29569,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138
5,45.3388,1.18298,3.50964,1.54961,0.23147,0.25,0.27499,0.23299,0.64086,3.47347,1.2906,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226
6,53.9709,0.81336,3.54396,1.34315,0.22014,0.25,0.20271,0.16447,0.66267,3.43516,1.30533,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114
7,63.022,1.00238,3.52134,1.47886,0.17645,0.66667,0.22725,0.18588,0.67564,3.37625,1.29387,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801
8,71.4566,0.8075,3.12164,1.24778,0.25897,0.83333,0.2682,0.20942,0.68703,3.26285,1.29675,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288
9,80.1119,0.95279,3.38365,1.34049,0.26875,0.83333,0.30258,0.23634,0.69525,3.16466,1.30393,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575
10,89.4581,0.82577,3.09543,1.37521,0.23203,0.58333,0.33768,0.26734,0.69517,3.11275,1.30069,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661
11,98.6936,0.69274,3.19554,1.28044,0.37314,0.58217,0.43571,0.34603,0.73327,3.0202,1.32484,0.000703641,0.000234547,0.000703641,0.000234547,0.000703641,0.000234547,0.000703641,0.000234547
12,107.323,0.63365,2.77951,1.20602,0.45059,0.57466,0.44271,0.35743,0.74528,2.89754,1.32628,0.000732697,0.000244232,0.000732697,0.000244232,0.000732697,0.000244232,0.000732697,0.000244232
13,116.599,0.71988,2.79882,1.27592,0.48152,0.58333,0.44968,0.36355,0.72512,2.77542,1.31419,0.000755151,0.000251717,0.000755151,0.000251717,0.000755151,0.000251717,0.000755151,0.000251717
14,125.663,0.75815,2.57367,1.21387,0.48278,0.58333,0.46935,0.37772,0.71475,2.62218,1.30359,0.000771004,0.000257001,0.000771004,0.000257001,0.000771004,0.000257001,0.000771004,0.000257001
15,139.503,0.7065,2.55182,1.28152,0.55851,0.58333,0.55088,0.46052,0.70113,2.45755,1.28288,0.000780256,0.000260085,0.000780256,0.000260085,0.000780256,0.000260085,0.000780256,0.000260085
16,147.216,0.75794,2.84879,1.34054,0.55219,0.58333,0.5675,0.45818,0.70054,2.36632,1.28577,0.000782907,0.000260969,0.000782907,0.000260969,0.000782907,0.000260969,0.000782907,0.000260969
17,153.341,0.56149,2.06797,1.09295,0.50013,0.58333,0.59509,0.47548,0.6964,2.24925,1.28308,0.000778956,0.000259652,0.000778956,0.000259652,0.000778956,0.000259652,0.000778956,0.000259652
18,158.539,0.66385,2.31274,1.23936,0.58086,0.66667,0.63546,0.50451,0.68239,2.13843,1.27655,0.000768404,0.000256135,0.000768404,0.000256135,0.000768404,0.000256135,0.000768404,0.000256135
19,163.524,0.57875,2.26138,1.14709,0.58621,0.66667,0.6409,0.50963,0.67461,2.06111,1.26686,0.00075125,0.000250417,0.00075125,0.000250417,0.00075125,0.000250417,0.00075125,0.000250417
20,168.709,0.63437,1.96451,1.19596,0.58132,0.66667,0.68115,0.56701,0.66427,1.97583,1.25754,0.000727495,0.000242498,0.000727495,0.000242498,0.000727495,0.000242498,0.000727495,0.000242498
21,206.694,0.5192,2.29128,1.05801,0.7883,0.64423,0.7654,0.62084,0.67461,1.9063,1.26205,0.000697139,0.00023238,0.000697139,0.00023238,0.000697139,0.00023238,0.000697139,0.00023238
22,213.738,0.56531,2.23933,1.17065,0.77278,0.65011,0.76371,0.60188,0.68885,1.8566,1.27353,0.000660182,0.000220061,0.000660182,0.000220061,0.000660182,0.000220061,0.000660182,0.000220061
23,219.655,0.83608,2.52737,1.5037,0.77001,0.65096,0.79065,0.61971,0.68635,1.82812,1.27422,0.000616623,0.000205541,0.000616623,0.000205541,0.000616623,0.000205541,0.000616623,0.000205541
24,226.646,0.66593,2.38265,1.32998,0.76853,0.64834,0.79615,0.62154,0.70962,1.83588,1.29387,0.000566463,0.000188821,0.000566463,0.000188821,0.000566463,0.000188821,0.000566463,0.000188821
25,232.661,0.5272,2.02737,1.11131,0.76768,0.65353,0.81,0.63692,0.71319,1.78305,1.29982,0.000509702,0.000169901,0.000509702,0.000169901,0.000509702,0.000169901,0.000509702,0.000169901
26,240.92,0.57568,2.27356,1.28027,0.9266,0.55803,0.81821,0.64209,0.71042,1.76815,1.29999,0.000446339,0.00014878,0.000446339,0.00014878,0.000446339,0.00014878,0.000446339,0.00014878
27,247.427,0.56477,1.92322,1.14704,0.91728,0.56217,0.83,0.65073,0.72015,1.74476,1.30941,0.000376375,0.000125458,0.000376375,0.000125458,0.000376375,0.000125458,0.000376375,0.000125458
28,253.374,0.46237,2.00323,1.14118,0.91728,0.56217,0.83,0.65073,0.72015,1.74476,1.30941,0.00029981,9.99366e-05,0.00029981,9.99366e-05,0.00029981,9.99366e-05,0.00029981,9.99366e-05
29,259.975,0.60886,2.21081,1.17966,0.90795,0.56802,0.83,0.65215,0.74053,1.74207,1.31937,0.000216643,7.22144e-05,0.000216643,7.22144e-05,0.000216643,7.22144e-05,0.000216643,7.22144e-05
30,267.596,0.42613,1.87981,1.0623,0.80791,0.72926,0.84063,0.66064,0.74082,1.72893,1.32062,0.000126875,4.22918e-05,0.000126875,4.22918e-05,0.000126875,4.22918e-05,0.000126875,4.22918e-05
