epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.6928,1.31426,0.72,1,1.04004,0.0012358,0.000411932,0.0012358,0.000411932,0.0012358,0.000411932,0.0012358,0.000411932
2,88.8057,0.84173,0.91,1,0.48855,0.00246529,0.000821763,0.00246529,0.000821763,0.00246529,0.000821763,0.00246529,0.000821763
3,129.285,0.42653,0.94833,1,0.19305,0.00367415,0.00122472,0.00367415,0.00122472,0.00367415,0.00122472,0.00367415,0.00122472
4,169.615,0.20539,0.96833,1,0.10502,0.00365719,0.00121906,0.00365719,0.00121906,0.00365719,0.00121906,0.00365719,0.00121906
5,210.771,0.12941,0.97667,1,0.0765,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875
6,250.924,0.09527,0.975,1,0.07097,0.00359531,0.00119844,0.00359531,0.00119844,0.00359531,0.00119844,0.00359531,0.00119844
7,290.55,0.07134,0.975,1,0.06641,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
8,330.187,0.05835,0.98,1,0.06377,0.00353344,0.00117781,0.00353344,0.00117781,0.00353344,0.00117781,0.00353344,0.00117781
9,369.475,0.05442,0.97833,1,0.06861,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675
10,410.505,0.0437,0.98167,1,0.05958,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719
11,450.972,0.03162,0.98333,1,0.06013,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688
12,490.289,0.03169,0.98,1,0.05824,0.00340969,0.00113656,0.00340969,0.00113656,0.00340969,0.00113656,0.00340969,0.00113656
13,530.29,0.02953,0.98167,1,0.06042,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
14,570.074,0.0236,0.98,1,0.06054,0.00334781,0.00111594,0.00334781,0.00111594,0.00334781,0.00111594,0.00334781,0.00111594
15,609.608,0.02168,0.98167,1,0.06259,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563
16,649.066,0.01804,0.98167,1,0.06187,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531
17,688.176,0.01631,0.97833,1,0.07896,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085
18,727.931,0.02088,0.98167,1,0.07194,0.00322406,0.00107469,0.00322406,0.00107469,0.00322406,0.00107469,0.00322406,0.00107469
19,767.594,0.01445,0.98,1,0.0622,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
20,806.98,0.01445,0.98167,1,0.06532,0.00316219,0.00105406,0.00316219,0.00105406,0.00316219,0.00105406,0.00316219,0.00105406
