epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.8537,0.87745,3.48253,1.27907,0.4508,0.16667,0.31936,0.27168,0.56357,3.0342,1.12431,0,0,0,0,0,0,0,0
2,8.68847,0.76902,4.34612,1.23228,0.44257,0.16667,0.30339,0.25876,0.5666,3.06623,1.13709,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05
3,10.2789,0.78434,3.86838,1.24613,0.42879,0.16667,0.31155,0.26656,0.56665,3.0957,1.1429,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05
4,11.8253,0.83764,3.69827,1.32073,0.3976,0.16667,0.30064,0.2581,0.56,3.13621,1.14548,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05
5,13.2897,0.83233,3.8927,1.33594,0.31973,0.16667,0.29639,0.25542,0.56454,3.18253,1.1513,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05
6,14.9063,0.81307,3.95255,1.278,0.15425,0.33333,0.28953,0.25084,0.56197,3.2296,1.1528,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05
7,16.4934,1.03616,4.59068,1.49821,0.15023,0.33333,0.17716,0.15106,0.57633,3.26518,1.1618,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05
8,18.2883,1.02067,3.7571,1.41942,0.16015,0.33333,0.16954,0.14557,0.58605,3.28725,1.16808,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517
9,21.3513,0.85407,3.83398,1.30295,0.18864,0.33333,0.17188,0.14896,0.59284,3.31991,1.1743,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236
10,24.2268,0.80149,3.33612,1.26321,0.21982,0.33333,0.1758,0.15386,0.60186,3.3227,1.18,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295
11,26.9107,0.83387,3.43795,1.25831,0.22562,0.33333,0.19369,0.16887,0.61184,3.28816,1.18516,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693
12,29.7967,0.8271,3.85159,1.29847,0.19869,0.33333,0.22525,0.19729,0.63768,3.25252,1.19674,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432
13,32.6346,0.86851,3.41977,1.26149,0.12351,0.3334,0.21481,0.18472,0.65655,3.21955,1.2001,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251
14,36.0132,0.63696,3.24788,1.19068,0.16025,0.5,0.23111,0.19767,0.6652,3.18286,1.20487,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929
15,40.3634,0.63417,3.33977,1.12397,0.15116,0.5,0.33721,0.29551,0.69284,3.12622,1.21376,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687
16,44.7935,1.04292,3.50685,1.33131,0.23005,0.83333,0.37031,0.31545,0.66915,3.05501,1.18492,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785
17,49.0384,0.77887,3.29976,1.28317,0.23897,0.83333,0.37533,0.31319,0.68,2.96207,1.18671,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223,0.000546669,0.000182223
18,52.7034,0.74091,3.2042,1.23576,0.23897,0.83333,0.37533,0.31319,0.68,2.96207,1.18671,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001,0.000564003,0.000188001
19,57.8195,0.71877,3.03931,1.20595,0.21976,0.60496,0.38535,0.31982,0.71846,2.9378,1.20451,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119,0.000579356,0.000193119
20,61.4157,0.78197,3.02725,1.24561,0.21976,0.60496,0.38535,0.31982,0.71846,2.9378,1.20451,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576,0.000592729,0.000197576
21,65.6998,0.5465,2.74542,1.07248,0.27544,0.5,0.42832,0.35108,0.7407,2.88534,1.20315,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374,0.000604121,0.000201374
22,69.3344,0.71882,2.59343,1.14189,0.27544,0.5,0.42832,0.35108,0.7407,2.88534,1.20315,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511,0.000613533,0.000204511
23,75.3278,0.66754,2.828,1.1837,0.30234,0.5,0.43332,0.35338,0.77417,2.82375,1.22982,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988,0.000620964,0.000206988
24,79.3045,0.59122,2.48171,1.14004,0.30234,0.5,0.43332,0.35338,0.77417,2.82375,1.22982,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805,0.000626415,0.000208805
25,83.4777,0.74189,2.91786,1.13734,0.31163,0.5,0.43188,0.35154,0.77125,2.78821,1.23851,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962,0.000629886,0.000209962
26,87.1645,0.63105,2.50604,1.12295,0.31163,0.5,0.43188,0.35154,0.77125,2.78821,1.23851,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459,0.000631376,0.000210459
27,90.9917,0.64025,2.53519,1.14715,0.35515,0.66667,0.44139,0.35696,0.75911,2.71957,1.231,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295,0.000630886,0.000210295
28,93.8174,0.56453,2.44014,1.07529,0.35515,0.66667,0.44139,0.35696,0.75911,2.71957,1.231,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472,0.000628416,0.000209472
29,96.7749,0.68838,2.61162,1.19015,0.34341,0.66667,0.45983,0.3786,0.7561,2.6262,1.23645,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988,0.000623965,0.000207988
30,99.3735,0.66758,2.57326,1.14836,0.34341,0.66667,0.45983,0.3786,0.7561,2.6262,1.23645,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844,0.000617533,0.000205844
31,104.872,0.67307,2.43981,1.11943,0.4821,0.64959,0.5286,0.43162,0.73594,2.514,1.21382,0.000609122,0.000203041,0.000609122,0.000203041,0.000609122,0.000203041,0.000609122,0.000203041
32,107.538,0.56569,2.39804,1.07707,0.4821,0.64959,0.5286,0.43162,0.73594,2.514,1.21382,0.00059873,0.000199577,0.00059873,0.000199577,0.00059873,0.000199577,0.00059873,0.000199577
33,110.91,0.5673,2.06874,1.06961,0.55172,0.65079,0.55652,0.4858,0.69458,2.3843,1.18163,0.000586357,0.000195452,0.000586357,0.000195452,0.000586357,0.000195452,0.000586357,0.000195452
34,113.449,0.56436,2.17016,1.04817,0.55172,0.65079,0.55652,0.4858,0.69458,2.3843,1.18163,0.000572004,0.000190668,0.000572004,0.000190668,0.000572004,0.000190668,0.000572004,0.000190668
35,116.718,0.51227,2.38165,1.09146,0.61823,0.62455,0.63986,0.54962,0.67163,2.27527,1.17971,0.000555671,0.000185224,0.000555671,0.000185224,0.000555671,0.000185224,0.000555671,0.000185224
36,119.301,0.55782,1.90379,1.02786,0.61823,0.62455,0.63986,0.54962,0.67163,2.27527,1.17971,0.000537357,0.000179119,0.000537357,0.000179119,0.000537357,0.000179119,0.000537357,0.000179119
37,123.085,0.63449,1.83133,0.99857,0.61226,0.61501,0.64575,0.55452,0.66889,2.17137,1.18908,0.000517063,0.000172354,0.000517063,0.000172354,0.000517063,0.000172354,0.000517063,0.000172354
38,127.009,0.57346,2.19773,1.07931,0.61226,0.61501,0.64575,0.55452,0.66889,2.17137,1.18908,0.000494789,0.00016493,0.000494789,0.00016493,0.000494789,0.00016493,0.000494789,0.00016493
39,130.507,0.5465,2.0313,1.11325,0.58701,0.63919,0.665,0.56763,0.65134,2.0774,1.18145,0.000470534,0.000156845,0.000470534,0.000156845,0.000470534,0.000156845,0.000470534,0.000156845
40,133.924,0.50655,1.85791,1.06197,0.58701,0.63919,0.665,0.56763,0.65134,2.0774,1.18145,0.000444299,0.0001481,0.000444299,0.0001481,0.000444299,0.0001481,0.000444299,0.0001481
41,171.484,0.4364,2.06173,1.06759,0.58226,0.63274,0.72,0.63365,0.63398,2.02068,1.17977,0.000416083,0.000138694,0.000416083,0.000138694,0.000416083,0.000138694,0.000416083,0.000138694
42,174.196,0.46586,2.15096,1.0773,0.58226,0.63274,0.72,0.63365,0.63398,2.02068,1.17977,0.000385887,0.000128629,0.000385887,0.000128629,0.000385887,0.000128629,0.000385887,0.000128629
43,176.973,0.57891,2.2074,1.09369,0.57265,0.63119,0.72,0.63364,0.63226,1.99617,1.17587,0.000353711,0.000117904,0.000353711,0.000117904,0.000353711,0.000117904,0.000353711,0.000117904
44,179.227,0.44202,2.0054,1.02044,0.57265,0.63119,0.72,0.63364,0.63226,1.99617,1.17587,0.000319554,0.000106518,0.000319554,0.000106518,0.000319554,0.000106518,0.000319554,0.000106518
45,181.857,0.56656,2.05748,1.20483,0.56653,0.62936,0.72,0.63911,0.62795,1.95615,1.16731,0.000283417,9.44722e-05,0.000283417,9.44722e-05,0.000283417,9.44722e-05,0.000283417,9.44722e-05
46,184.214,0.38224,1.78742,1.02562,0.56653,0.62936,0.72,0.63911,0.62795,1.95615,1.16731,0.000245299,8.17663e-05,0.000245299,8.17663e-05,0.000245299,8.17663e-05,0.000245299,8.17663e-05
47,186.925,0.51284,2.04514,0.95499,0.75868,0.5,0.72,0.63542,0.63039,1.94381,1.17177,0.000205201,6.84003e-05,0.000205201,6.84003e-05,0.000205201,6.84003e-05,0.000205201,6.84003e-05
48,189.117,0.45626,2.12815,1.07622,0.75868,0.5,0.72,0.63542,0.63039,1.94381,1.17177,0.000163123,5.43742e-05,0.000163123,5.43742e-05,0.000163123,5.43742e-05,0.000163123,5.43742e-05
49,191.271,0.44432,2.00245,0.9896,0.82859,0.5,0.7145,0.63147,0.63094,1.9417,1.17469,0.000119064,3.96879e-05,0.000119064,3.96879e-05,0.000119064,3.96879e-05,0.000119064,3.96879e-05
50,193.19,0.38621,1.88639,1.02222,0.82859,0.5,0.7145,0.63147,0.63094,1.9417,1.17469,7.30246e-05,2.43415e-05,7.30246e-05,2.43415e-05,7.30246e-05,2.43415e-05,7.30246e-05,2.43415e-05
