epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32.6461,1.33509,0.66552,1,1.10889,0.00123547,0.000411822,0.00123547,0.000411822,0.00123547,0.000411822,0.00123547,0.000411822
2,66.1184,0.90589,0.92069,1,0.54856,0.00246496,0.000821653,0.00246496,0.000821653,0.00246496,0.000821653,0.00246496,0.000821653
3,92.262,0.4754,0.95517,1,0.20123,0.00367383,0.00122461,0.00367383,0.00122461,0.00367383,0.00122461,0.00367383,0.00122461
4,120.812,0.21521,0.97241,1,0.0867,0.00365719,0.00121906,0.00365719,0.00121906,0.00365719,0.00121906,0.00365719,0.00121906
5,146.95,0.12549,0.98276,1,0.05779,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875,0.00362625,0.00120875
6,173.538,0.08615,0.98621,1,0.05964,0.00359531,0.00119844,0.00359531,0.00119844,0.00359531,0.00119844,0.00359531,0.00119844
7,203.482,0.0634,0.98276,1,0.04035,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
8,234.66,0.04795,0.98448,1,0.03522,0.00353344,0.00117781,0.00353344,0.00117781,0.00353344,0.00117781,0.00353344,0.00117781
9,268.983,0.04784,0.98448,1,0.0337,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675
10,299.255,0.02913,0.98448,1,0.0341,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719
11,327.644,0.02872,0.98793,1,0.0302,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688,0.00344062,0.00114688
12,353.521,0.02786,0.98793,1,0.02859,0.00340969,0.00113656,0.00340969,0.00113656,0.00340969,0.00113656,0.00340969,0.00113656
13,380.102,0.02539,0.98793,1,0.06907,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
14,406.259,0.01817,0.98793,1,0.02869,0.00334781,0.00111594,0.00334781,0.00111594,0.00334781,0.00111594,0.00334781,0.00111594
15,432.384,0.01444,0.98793,1,0.03154,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563,0.00331687,0.00110563
16,458.472,0.01535,0.98793,1,0.03623,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531
17,484.558,0.0125,0.98793,1,0.03521,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085
18,510.628,0.01363,0.98793,1,0.03742,0.00322406,0.00107469,0.00322406,0.00107469,0.00322406,0.00107469,0.00322406,0.00107469
19,536.673,0.01689,0.98793,1,0.03334,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
