epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.9274,1.08964,2.59163,1.55722,0.27044,0.42727,0.3026,0.2059,0.78436,2.17216,1.35068,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
2,37.9428,1.00178,2.01407,1.5165,0.52407,0.66102,0.59004,0.43951,0.7035,1.61371,1.2995,0.00156654,0.00052218,0.00156654,0.00052218,0.00156654,0.00052218,0.00156654,0.00052218
3,52.0681,0.94547,1.508,1.46019,0.72946,0.71186,0.75841,0.58889,0.72486,1.23764,1.33889,0.00229764,0.00076588,0.00229764,0.00076588,0.00229764,0.00076588,0.00229764,0.00076588
4,72.7972,0.78196,1.10562,1.36275,0.85546,0.71186,0.75465,0.58537,0.83696,1.17886,1.44408,0.0029733,0.0009911,0.0029733,0.0009911,0.0029733,0.0009911,0.0029733,0.0009911
5,85.4146,0.74577,0.97713,1.31638,0.85501,0.67797,0.7944,0.61644,0.81111,1.04079,1.4139,0.00359352,0.00119784,0.00359352,0.00119784,0.00359352,0.00119784,0.00359352,0.00119784
6,99.0335,0.85848,0.96442,1.3902,0.83673,0.69488,0.79949,0.60063,0.78009,0.9373,1.4003,0.0041583,0.0013861,0.0041583,0.0013861,0.0041583,0.0013861,0.0041583,0.0013861
7,110.654,0.7196,0.89971,1.29307,0.83334,0.66102,0.79337,0.59818,0.78466,0.97859,1.40491,0.00466764,0.00155588,0.00466764,0.00155588,0.00466764,0.00155588,0.00466764,0.00155588
8,122.419,0.73235,0.80988,1.26599,0.76397,0.66102,0.76585,0.58851,0.75731,1.08679,1.35826,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,133.893,0.7242,0.72504,1.26899,0.75999,0.71186,0.79286,0.59287,0.79561,0.98132,1.44214,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,145.429,0.76,0.72351,1.27234,0.77277,0.72881,0.81616,0.61575,0.78947,0.89103,1.41189,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,157.049,0.6566,0.66149,1.21917,0.84661,0.74576,0.83637,0.62961,0.76971,0.90988,1.40544,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,168.967,0.68283,0.64321,1.22492,0.89756,0.69492,0.83358,0.62508,0.8251,0.87891,1.4682,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
