epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,2021,0.01009,0.9845,1,0.05421,0.0017596,0.000586532,0.0017596,0.000586532,0.0017596,0.000586532,0.0017596,0.000586532
45,2064.95,0.00804,0.98339,1,0.05166,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033
46,2107.69,0.00801,0.9845,1,0.05243,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534
47,2157.8,0.00746,0.9845,1,0.05284,0.0016921,0.000564034,0.0016921,0.000564034,0.0016921,0.000564034,0.0016921,0.000564034
48,2202.23,0.01074,0.9845,1,0.05175,0.00166961,0.000556535,0.00166961,0.000556535,0.00166961,0.000556535,0.00166961,0.000556535
49,2253.82,0.00463,0.9845,1,0.07953,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
50,2295.65,0.00683,0.9845,1,0.05106,0.00162461,0.000541537,0.00162461,0.000541537,0.00162461,0.000541537,0.00162461,0.000541537
51,2337.21,0.00894,0.98339,1,0.04984,0.00160211,0.000534037,0.00160211,0.000534037,0.00160211,0.000534037,0.00160211,0.000534037
52,2378.6,0.00543,0.98339,1,0.05229,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538
53,2420.27,0.00783,0.98228,1,0.05092,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039
54,2461.84,0.0074,0.98339,1,0.09512,0.00153462,0.00051154,0.00153462,0.00051154,0.00153462,0.00051154,0.00153462,0.00051154
55,2503.65,0.00722,0.98339,1,0.0544,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
56,2545.31,0.00466,0.9845,1,0.05224,0.00148962,0.000496541,0.00148962,0.000496541,0.00148962,0.000496541,0.00148962,0.000496541
57,2586.86,0.00714,0.98339,1,0.05361,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042
58,2628.38,0.00784,0.98339,1,0.05307,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543
59,2669.94,0.00352,0.98339,1,0.05245,0.00142213,0.000474043,0.00142213,0.000474043,0.00142213,0.000474043,0.00142213,0.000474043
60,2711.36,0.00545,0.9845,1,0.1383,0.00139963,0.000466544,0.00139963,0.000466544,0.00139963,0.000466544,0.00139963,0.000466544
61,2757.41,0.00417,0.98228,1,0.05329,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
62,2810.17,0.00648,0.98339,1,0.05065,0.00135464,0.000451546,0.00135464,0.000451546,0.00135464,0.000451546,0.00135464,0.000451546
63,2864.13,0.00663,0.98339,1,0.05018,0.00133214,0.000444046,0.00133214,0.000444046,0.00133214,0.000444046,0.00133214,0.000444046
64,2918.52,0.00411,0.98339,1,0.05434,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547
65,2972.92,0.00637,0.98339,1,0.05499,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048
66,3024.49,0.00409,0.98339,1,0.05617,0.00126465,0.000421549,0.00126465,0.000421549,0.00126465,0.000421549,0.00126465,0.000421549
67,3075.81,0.003,0.98228,1,0.06149,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
68,3126.89,0.00421,0.9856,1,0.05694,0.00121965,0.00040655,0.00121965,0.00040655,0.00121965,0.00040655,0.00121965,0.00040655
69,3177.64,0.0055,0.98339,1,0.05747,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051
70,3228.45,0.00416,0.9845,1,0.05626,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552
71,3283.11,0.00431,0.9845,1,0.05565,0.00115216,0.000384052,0.00115216,0.000384052,0.00115216,0.000384052,0.00115216,0.000384052
72,3333.82,0.00325,0.9845,1,0.05563,0.00112966,0.000376553,0.00112966,0.000376553,0.00112966,0.000376553,0.00112966,0.000376553
73,3384.44,0.00383,0.9845,1,0.05608,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
74,3435.62,0.00458,0.9845,1,0.05687,0.00108466,0.000361555,0.00108466,0.000361555,0.00108466,0.000361555,0.00108466,0.000361555
75,3491.43,0.00538,0.9845,1,0.06835,0.00106217,0.000354055,0.00106217,0.000354055,0.00106217,0.000354055,0.00106217,0.000354055
