epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.5898,0.61673,0.92542,1,0.46689,0.00162911,0.000543038,0.00162911,0.000543038,0.00162911,0.000543038,0.00162911,0.000543038
2,39.7084,0.40664,0.98983,1,0.21624,0.00326892,0.00108964,0.00326892,0.00108964,0.00326892,0.00108964,0.00326892,0.00108964
3,62.006,0.21925,0.98644,1,0.08245,0.00488122,0.00162707,0.00488122,0.00162707,0.00488122,0.00162707,0.00488122,0.00162707
4,84.3517,0.10154,0.98305,1,0.03902,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
5,107.107,0.07103,0.98305,1,0.03157,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199
6,131.163,0.03965,0.98305,1,0.02599,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824
7,154.554,0.03481,0.98305,1,0.0254,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
8,177.523,0.02747,0.98644,1,0.02071,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073
9,199.596,0.01983,0.98644,1,0.02169,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698
10,217.157,0.02063,0.98983,1,0.02761,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
11,237.26,0.01846,0.98305,1,0.02237,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947
12,257.105,0.01112,0.98644,1,0.02071,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572
13,277.052,0.01589,0.98983,1,0.01856,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
14,296.955,0.01043,0.98983,1,0.02132,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821
15,317.383,0.00942,0.98983,1,0.01886,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446
16,337.881,0.00909,0.98983,1,0.01772,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
17,357.659,0.00927,0.98644,1,0.02126,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
18,378.011,0.013,0.98644,1,0.01838,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332
19,400.381,0.01065,0.98983,1,0.02258,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
20,423.088,0.00509,0.98644,1,0.02592,0.00421709,0.0014057,0.00421709,0.0014057,0.00421709,0.0014057,0.00421709,0.0014057
21,444.611,0.00618,0.98644,1,0.02158,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
22,466.795,0.00382,0.98644,1,0.02029,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
23,487.241,0.00334,0.98644,1,0.02132,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444
24,508.684,0.00466,0.98983,1,0.0222,0.00405206,0.00135069,0.00405206,0.00135069,0.00405206,0.00135069,0.00405206,0.00135069
25,531.067,0.00583,0.98644,1,0.0218,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
26,550.386,0.0055,0.98644,1,0.02372,0.00396954,0.00132318,0.00396954,0.00132318,0.00396954,0.00132318,0.00396954,0.00132318
27,571.364,0.00657,0.98644,1,0.02767,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943
28,593.661,0.00626,0.99322,1,0.01812,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
29,617.525,0.00696,0.99322,1,0.01755,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
30,640.077,0.00329,0.99322,1,0.02217,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817
31,661.846,0.00595,0.99322,1,0.01531,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
32,682.088,0.00362,0.99322,1,0.01441,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066
33,703.092,0.00226,0.99322,1,0.01471,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
34,724.485,0.00331,0.99322,1,0.01527,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
35,746.518,0.00566,0.99322,1,0.01583,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941
36,768.295,0.00469,0.99322,1,0.01829,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565
37,789.95,0.00254,0.99322,1,0.01793,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
38,812.854,0.00224,0.98983,1,0.01898,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815
39,834.823,0.00511,0.99322,1,0.01856,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444
40,856.872,0.00373,0.99661,1,0.01842,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
41,878.233,0.0014,0.99322,1,0.01537,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
42,900.37,0.00301,0.99322,1,0.01466,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314
43,923.033,0.00487,0.99322,1,0.0152,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
44,944.713,0.00293,0.98983,1,0.01595,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563
45,965.924,0.00256,0.98983,1,0.01613,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
46,987.978,0.00264,0.98644,1,0.01834,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
47,1009.07,0.00464,0.98644,1,0.02338,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437
48,1030.82,0.00116,0.98983,1,0.0202,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062
49,1051.56,0.00116,0.98644,1,0.02272,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
50,1072.71,0.00096,0.98983,1,0.02421,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115
51,1093.76,0.0088,0.98983,1,0.02899,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362
52,1114.71,0.00167,0.98983,1,0.02218,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
53,1135.68,0.00217,0.98983,1,0.02009,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
54,1156.7,0.00281,0.98983,1,0.02313,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104
55,1178.22,0.00096,0.98983,1,0.02111,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
56,1197.77,0.00381,0.99322,1,0.01854,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599
57,1214.02,0.00461,0.99322,1,0.01993,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
