epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.9008,1.19121,3.2533,1.4747,0.1704,0.28041,0.1301,0.09578,0.95437,2.84082,1.29434,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006
2,35.7484,1.07796,2.35155,1.39179,0.48882,0.58491,0.4773,0.34965,0.90637,2.44071,1.25855,0.00181373,0.000604578,0.00181373,0.000604578,0.00181373,0.000604578,0.00181373,0.000604578
3,48.089,0.96206,1.469,1.31335,0.61602,0.68385,0.65114,0.47175,0.8924,2.09682,1.23247,0.00268966,0.000896553,0.00268966,0.000896553,0.00268966,0.000896553,0.00268966,0.000896553
4,67.766,0.94051,1.15392,1.27822,0.67139,0.72466,0.73151,0.53523,0.89377,1.57241,1.23854,0.00352796,0.00117599,0.00352796,0.00117599,0.00352796,0.00117599,0.00352796,0.00117599
5,79.2207,0.90194,1.02262,1.22838,0.65451,0.80574,0.73944,0.53708,0.92149,1.55755,1.26194,0.00432863,0.00144288,0.00432863,0.00144288,0.00432863,0.00144288,0.00432863,0.00144288
6,90.6693,0.84962,0.92552,1.1892,0.68755,0.80359,0.71691,0.52894,0.92249,1.66203,1.26516,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,101.985,0.82987,0.84411,1.15744,0.73951,0.77394,0.71352,0.52826,0.89274,1.67693,1.23306,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,113.937,0.80213,0.80355,1.1456,0.7122,0.76351,0.71788,0.55218,0.86477,1.75901,1.2137,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,126.021,0.79421,0.73077,1.13875,0.72842,0.76137,0.73827,0.58496,0.85267,1.47943,1.19156,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,137.975,0.75558,0.70005,1.11171,0.71675,0.82966,0.73683,0.56799,0.84638,1.63645,1.1827,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
